סבב בחירות,שם ישוב,סמל ישוב,סמל קלפי,בזב,מצביעים,כשרים,פסולים,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
2006,כנרת (קבוצה),57,10,593,392,387,5,147,0,0,1,0,0,0,11,0,4,0,0,142,0,18,6,22,0,0,15,0,0,0,0,0,1,0,9,0,8,3
2006,מצפה,58,10,121,77,77,0,21,0,0,0,0,0,0,3,0,1,1,0,36,0,4,4,3,0,0,2,0,0,0,0,0,0,0,1,0,1,0
2006,נחושה,59,10,144,116,116,0,0,2,0,0,0,0,0,1,0,55,0,6,1,0,5,11,1,0,0,3,0,0,0,0,0,0,0,2,0,0,29
2006,דגניה א',62,10,512,333,331,2,175,0,0,0,1,0,0,30,0,3,0,0,54,0,8,5,34,0,0,6,0,0,0,0,0,0,0,9,0,5,1
2006,כנרת (מושבה),63,10,368,263,263,0,64,1,0,3,0,0,0,14,0,14,1,2,84,0,7,36,17,0,0,6,0,0,0,0,0,0,0,5,0,8,1
2006,"יד רמב""ם",64,10,639,429,426,3,53,3,0,0,0,0,0,25,0,63,1,4,103,0,22,70,4,0,0,0,0,0,2,0,0,0,0,5,0,5,66
2006,מגדל,65,10,485,278,276,2,17,2,0,0,0,0,0,12,0,13,1,12,48,0,36,39,4,0,4,1,0,0,0,0,0,0,1,2,0,0,84
2006,מגדל,65,20,482,303,299,4,15,7,1,0,0,0,0,6,0,22,0,7,49,0,51,60,4,0,0,1,0,0,0,0,0,0,0,1,0,0,75
2006,מרחביה (קיבוץ),66,10,486,331,329,2,93,0,0,0,0,0,0,5,2,2,0,0,64,0,9,6,118,1,1,4,0,0,0,0,2,0,0,10,0,5,7
2006,אור הנר,67,10,372,254,250,4,183,0,0,0,0,0,0,5,0,1,0,0,38,0,1,2,15,0,0,1,0,0,0,0,0,0,0,1,0,3,0
2006,ניר עוז,69,10,331,237,236,1,76,0,0,0,0,0,1,7,0,0,0,1,31,0,1,0,112,0,0,0,0,0,0,0,0,0,0,5,0,2,0
2006,אשדוד,70,10,582,279,273,6,26,3,0,0,0,0,0,5,0,12,0,1,65,0,103,27,1,0,0,0,0,0,1,0,1,0,1,2,0,0,25
2006,אשדוד,70,20,643,311,306,5,71,3,0,0,0,0,0,20,0,17,0,0,107,0,21,28,11,0,0,1,1,0,0,0,0,1,2,5,0,1,17
2006,אשדוד,70,30,676,328,321,7,63,7,0,0,1,0,2,14,2,12,1,1,73,0,36,39,7,0,0,0,0,0,1,0,0,0,2,5,0,2,53
2006,אשדוד,70,40,479,230,226,4,21,2,0,1,0,1,6,5,1,30,0,0,28,0,38,31,9,0,0,0,0,0,0,0,0,0,1,3,1,4,44
2006,אשדוד,70,50,595,314,305,9,36,3,0,0,0,0,0,5,0,14,0,0,66,0,60,45,3,1,0,0,0,0,0,0,0,1,1,2,1,2,65
2006,אשדוד,70,60,602,375,357,18,25,3,0,0,0,0,18,5,0,14,1,3,85,0,128,28,2,0,0,1,3,0,0,0,1,4,5,2,0,4,25
2006,אשדוד,70,70,579,280,277,3,36,4,0,0,1,1,0,11,1,14,0,0,71,1,54,34,4,0,0,1,0,0,1,0,1,1,1,0,0,2,38
2006,אשדוד,70,80,398,147,143,4,15,3,0,1,0,0,3,3,1,7,0,1,21,0,33,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,38
2006,אשדוד,70,90,764,343,330,13,42,5,0,0,0,0,11,4,0,6,2,2,47,0,86,40,6,0,2,0,0,1,0,0,0,1,0,0,0,1,74
2006,אשדוד,70,100,575,260,254,6,34,5,0,0,0,0,0,5,0,9,0,2,62,0,54,25,2,0,0,0,0,1,1,1,0,0,0,1,0,0,52
2006,אשדוד,70,110,632,317,305,12,32,9,0,0,0,0,11,16,1,11,1,0,43,0,86,25,3,0,0,0,2,0,0,0,0,0,2,2,0,2,59
2006,אשדוד,70,120,667,221,216,5,26,3,0,0,0,0,2,6,3,6,0,0,43,0,47,25,5,0,1,0,0,0,0,0,0,3,1,3,0,1,41
2006,אשדוד,70,130,716,314,309,5,37,2,1,0,0,0,1,6,1,2,0,0,40,0,102,32,1,1,0,0,0,1,0,0,0,1,0,0,0,1,80
2006,אשדוד,70,140,744,326,317,9,49,11,0,0,0,0,3,11,1,22,0,4,50,1,63,37,3,0,0,2,0,0,0,0,0,1,0,1,0,0,58
2006,אשדוד,70,150,719,371,363,8,45,13,0,0,0,1,5,20,0,23,0,1,66,0,58,32,0,0,0,0,0,1,0,1,1,0,2,2,0,2,90
2006,אשדוד,70,160,581,254,245,9,22,13,0,0,0,0,21,8,0,14,0,0,19,0,35,26,0,0,1,1,0,0,0,0,0,0,2,1,0,0,82
2006,אשדוד,70,170,603,300,288,12,25,4,1,0,0,1,7,3,1,7,0,0,60,1,85,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,71
2006,אשדוד,70,180,553,320,310,10,14,32,0,0,1,2,32,5,0,3,0,1,40,0,33,17,3,0,1,0,1,0,1,0,0,1,1,1,0,0,121
2006,אשדוד,70,190,641,290,274,16,13,8,1,0,1,0,2,5,3,7,2,0,64,1,88,26,0,2,1,0,1,1,0,0,0,0,0,0,0,2,46
2006,אשדוד,70,200,624,318,315,3,42,10,2,0,0,0,3,9,3,10,0,1,55,1,81,25,1,0,1,0,0,1,1,0,0,1,0,4,0,1,63
2006,אשדוד,70,210,510,271,267,4,34,4,0,0,0,0,0,7,0,15,0,1,64,0,53,34,2,0,0,1,0,0,0,0,0,0,0,3,0,2,47
2006,אשדוד,70,220,814,349,328,21,42,10,0,0,0,0,9,8,0,11,1,1,58,0,70,25,4,0,0,0,1,0,0,1,0,0,0,4,1,2,80
2006,אשדוד,70,230,636,280,274,6,60,4,0,0,0,0,0,6,1,19,0,0,68,1,48,29,7,0,0,0,0,0,0,0,0,2,0,4,0,3,22
2006,אשדוד,70,240,577,252,246,6,42,8,0,0,0,0,24,2,0,6,0,1,39,0,42,25,4,0,1,0,0,0,0,0,0,1,0,1,0,2,48
2006,אשדוד,70,250,621,288,274,14,34,8,0,0,1,0,4,6,1,11,1,1,57,0,66,24,3,1,0,0,0,0,1,1,0,0,0,2,0,1,51
2006,אשדוד,70,260,779,386,375,11,30,10,0,0,0,0,33,9,0,18,2,1,49,0,107,48,3,0,1,1,0,0,0,1,0,0,2,2,0,2,56
2006,אשדוד,70,270,599,356,352,4,30,6,0,0,0,0,0,8,0,23,2,2,78,0,67,34,9,1,0,0,0,0,0,0,0,0,0,0,0,6,86
2006,אשדוד,70,280,506,206,201,5,23,4,0,0,0,0,3,8,0,8,0,1,43,0,37,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2006,אשדוד,70,290,736,337,330,7,41,11,0,0,0,0,1,23,1,9,1,2,68,1,58,31,4,0,0,0,0,0,1,0,0,0,1,2,0,3,72
